id,EAP,HPL,MWS
id02310,0.133972541,0.039493158,0.826534301
id24541,0.997711672,0.002088199,0.000200129
id00134,0.190739665,0.707546471,0.101713864
id27757,0.448313427,0.530830565,0.020856007
id04081,0.630224045,0.236989771,0.132786184
id27337,0.558740989,0.439805717,0.001453294
id24265,0.820475644,0.111533569,0.067990786
id25917,0.479816414,0.084221985,0.435961601
id04951,0.964684077,0.029360017,0.005955906
id14549,0.809947731,0.049812635,0.140239634
id22505,0.020221167,0.091894166,0.887884667
id24002,0.168077406,0.822491939,0.009430655
id18982,0.181078512,0.259528668,0.55939282
id15181,0.396518413,0.595581077,0.00790051
id21888,0.861504728,0.100423647,0.038071625
id12035,0.488836191,0.064155956,0.447007853
id17991,0.508906674,0.05624125,0.434852076
id10707,0.9917002,0.007877506,0.000422294
id07101,0.897134995,0.032479563,0.070385442
id00345,0.718127391,0.234130154,0.047742455
id05912,0.8459493,0.038547089,0.115503612
id13443,0.094866909,0.517004349,0.388128741
id09248,0.559625769,0.160002761,0.28037147
id17542,0.53175965,0.147980462,0.320259887
id06995,0.200825957,0.00822652,0.790947523
id25159,0.574888694,0.073150177,0.351961129
id25729,0.358148113,0.584301571,0.057550316
id26949,0.804576944,0.156418775,0.039004281
id27191,0.140955099,0.046428076,0.812616825
id07668,0.09513513,0.013014478,0.891850392
id02230,0.348700837,0.403357637,0.247941526
id15553,0.995762075,0.002034272,0.002203653
id25688,0.013374377,0.97464902,0.011976602
id17545,0.829129431,0.146090477,0.024780092
id13929,0.652433648,0.055528198,0.292038154
id12880,0.606467853,0.31527374,0.078258407
id19282,0.413171217,0.238504541,0.348324242
id14690,0.253944159,0.317846484,0.428209357
id17975,0.335894548,0.514703945,0.149401507
id08037,0.984457022,0.011142345,0.004400633
id15412,0.860368356,0.02641971,0.113211934
id25032,0.669730649,0.110006242,0.220263109
id27165,0.810479139,0.075765204,0.113755657
id03327,0.937846108,0.027473955,0.034679937
id18515,0.937949546,0.029044636,0.033005818
id21003,0.36248805,0.02546771,0.612044241
id23855,0.147763622,0.777175473,0.075060905
id20724,0.697067962,0.094240942,0.208691096
id13303,0.698913066,0.218916519,0.082170415
id16521,0.002700265,0.238720872,0.758578864
id20775,0.988698771,0.006704545,0.004596685
id13029,0.700651972,0.258977483,0.040370546
id14660,0.536580844,0.426623217,0.036795939
id11028,0.047927702,0.004810789,0.947261509
id14180,0.892725718,0.084695938,0.022578345
id25860,0.96945983,0.005019892,0.025520278
id11910,0.600194464,0.116413024,0.283392512
id08065,0.310704829,0.19327118,0.496023991
id22674,0.457711739,0.307376847,0.234911414
id25018,0.864308934,0.013267603,0.122423462
id10892,0.304537328,0.652584978,0.042877694
id10217,0.121860313,0.876362359,0.001777328
id12996,0.421338192,0.07054046,0.508121348
id18262,0.128545282,0.020836147,0.850618571
id08606,0.088578328,0.904222101,0.007199572
id17233,0.446749325,0.072908322,0.480342354
id00101,0.577474818,0.171885349,0.250639833
id12225,0.677812678,0.15240998,0.169777342
id01364,0.151734262,0.837466937,0.010798801
id24973,0.272525564,0.089763831,0.637710605
id25363,0.902207456,3.04E-05,0.097762169
id10061,0.664007301,0.274509718,0.061482981
id17673,0.365354218,0.048226539,0.586419242
id13249,0.625486594,0.108657978,0.265855428
id10107,0.344757243,0.243144326,0.412098431
id04403,0.950013442,0.021033139,0.028953419
id25728,0.66934426,0.065964659,0.264691081
id16184,0.419962493,0.271619118,0.308418388
id03438,0.515623265,0.030733641,0.453643094
id22923,0.066137913,0.914268735,0.019593352
id08610,0.96862902,0.017803032,0.013567947
id25355,0.144156242,0.242572956,0.613270802
id16916,0.310210797,0.602835553,0.08695365
id12793,0.360171247,0.60101548,0.038813273
id11859,0.799737876,0.04751978,0.152742344
id02434,0.999901511,5.69E-05,4.16E-05
id27703,0.134429403,0.156056421,0.709514176
id25212,0.068411533,0.896279457,0.03530901
id11308,0.345885636,0.103288394,0.55082597
id26094,0.829735762,0.100444327,0.069819911
id22080,0.908149929,0.052219518,0.039630553
id03545,0.540961134,0.450594161,0.008444705
id23725,0.101147176,0.057773448,0.841079376
id12009,0.755770013,0.134058492,0.110171495
id24241,0.41130697,0.335157661,0.253535368
id03596,0.217454248,0.759762041,0.022783711
id10749,0.139318235,0.790955137,0.069726628
id22794,0.008820494,0.01219613,0.978983376
id15482,0.141329063,0.614349404,0.244321534
id04833,0.390435021,0.488887283,0.120677696
id00397,0.392120073,0.000491044,0.607388883
id14691,0.639718226,0.00508981,0.355191964
id05193,0.228162501,0.185687267,0.586150232
id19541,0.813010508,0.142338405,0.044651087
id22166,0.007670368,0.001902355,0.990427276
id20744,0.188079441,0.018264585,0.793655974
id10392,0.005577106,0.002708318,0.991714576
id00770,0.922451115,0.065908073,0.011640812
